  slev   sx    sy dlev   dx    dy  count       per       cum
b   14 4823 10223   14 4823 10224  67091 0.2398176 74.131268
  slev   sx    sy dlev   dx    dy  count          per        cum
b   14 4824 10226   14 4824 10226 864288 3.089409e+00   3.089409
b   14 4825 10226   14 4825 10226 803577 2.872396e+00   5.961805
b   14 4824 10225   14 4824 10225 762639 2.726063e+00   8.687868
b   14 4824 10226   14 4825 10226 734306 2.624786e+00  11.312654
b   14 4825 10226   14 4824 10226 679372 2.428424e+00  13.741078
b   14 4824 10225   14 4824 10226 586868 2.097767e+00  15.838845
b   14 4824 10226   14 4824 10225 535348 1.913608e+00  17.752454
b   14 4824 10225   14 4825 10226 513693 1.836202e+00  19.588656
b   14 4824 10225   14 4824 10224 496652 1.775289e+00  21.363945
b   14 4825 10226   14 4824 10225 478884 1.711777e+00  23.075722
b   14 4824 10224   14 4824 10225 432351 1.545444e+00  24.621166
b   14 4825 10227   14 4825 10226 430286 1.538063e+00  26.159229
b   14 4825 10226   14 4826 10227 418961 1.497581e+00  27.656810
b   14 4826 10227   14 4826 10227 411348 1.470369e+00  29.127179
b   14 4825 10226   14 4825 10227 410879 1.468692e+00  30.595871
b   14 4824 10224   14 4824 10224 404287 1.445129e+00  32.041000
b   14 4825 10227   14 4825 10227 382528 1.367351e+00  33.408352
b   14 4826 10227   14 4825 10226 362505 1.295779e+00  34.704130
b   14 4825 10227   14 4826 10227 298619 1.067417e+00  35.771548
b   14 4826 10227   14 4825 10227 272480 9.739833e-01  36.745531
b   14 4825 10228   14 4825 10228 269414 9.630238e-01  37.708555
b   14 4824 10226   14 4824 10227 266374 9.521573e-01  38.660712
b   14 4824 10226   14 4825 10227 259941 9.291624e-01  39.589875
b   14 4825 10227   14 4824 10226 254832 9.109003e-01  40.500775
b   14 4824 10227   14 4824 10226 226350 8.090910e-01  41.309866
b   14 4826 10227   14 4826 10228 221984 7.934847e-01  42.103351
b   14 4824 10224   14 4824 10226 216886 7.752618e-01  42.878612
b   14 4824 10226   14 4824 10224 209858 7.501401e-01  43.628753
b   14 4824 10225   14 4825 10225 203781 7.284178e-01  44.357170
b   14 4825 10226   14 4824 10224 198761 7.104738e-01  45.067644
b   14 4825 10226   14 4825 10225 196882 7.037572e-01  45.771401
b   14 4824 10224   14 4825 10226 195473 6.987208e-01  46.470122
b   14 4825 10227   14 4825 10228 188638 6.742890e-01  47.144411
b   14 4825 10228   14 4825 10227 183412 6.556086e-01  47.800020
b   14 4825 10225   14 4825 10226 178349 6.375108e-01  48.437530
b   14 4824 10225   14 4823 10225 176296 6.301723e-01  49.067703
b   14 4825 10226   14 4824 10227 165199 5.905060e-01  49.658209
b   14 4824 10225   14 4823 10224 162093 5.794035e-01  50.237612
b   14 4824 10227   14 4825 10226 161461 5.771444e-01  50.814757
b   14 4826 10228   14 4826 10227 157033 5.613165e-01  51.376073
b   14 4825 10227   14 4826 10228 155057 5.542532e-01  51.930326
b   14 4824 10227   14 4825 10228 150733 5.387970e-01  52.469123
b   14 4825 10225   14 4824 10225 150501 5.379678e-01  53.007091
b   14 4825 10227   14 4824 10227 150479 5.378891e-01  53.544980
b   14 4823 10225   14 4824 10225 150346 5.374137e-01  54.082394
b   14 4824 10226   14 4826 10227 149501 5.343932e-01  54.616787
b   14 4824 10227   14 4825 10227 138310 4.943909e-01  55.111178
b   14 4824 10226   14 4825 10225 135124 4.830025e-01  55.594181
b   14 4823 10224   14 4824 10225 133953 4.788167e-01  56.072997
b   14 4825 10226   14 4826 10228 133504 4.772118e-01  56.550209
b   14 4825 10228   14 4824 10227 130387 4.660700e-01  57.016279
b   14 4824 10227   14 4824 10227 129289 4.621452e-01  57.478424
b   14 4824 10225   14 4825 10227 128845 4.605581e-01  57.938982
b   14 4823 10225   14 4824 10226 124942 4.466068e-01  58.385589
b   14 4826 10227   14 4824 10226 124353 4.445014e-01  58.830091
b   14 4826 10228   14 4825 10227 121274 4.334955e-01  59.263586
b   14 4825 10227   14 4824 10225 120067 4.291810e-01  59.692767
b   14 4826 10227   14 4825 10228 119637 4.276440e-01  60.120411
b   14 4824 10224   14 4823 10223 119372 4.266967e-01  60.547108
b   14 4824 10224   14 4823 10224 117137 4.187077e-01  60.965816
b   14 4823 10224   14 4824 10224 116046 4.148079e-01  61.380623
b   14 4825 10226   14 4825 10228 115726 4.136641e-01  61.794287
b   14 4824 10226   14 4823 10225 115636 4.133424e-01  62.207630
b   14 4825 10228   14 4826 10227 114824 4.104399e-01  62.618070
b   14 4824 10224   14 4825 10225 114758 4.102039e-01  63.028274
b   14 4824 10225   14 4826 10227 113776 4.066938e-01  63.434967
