  slev   sx    sy dlev   dx    dy  count       per       cum
b   14 4824 10227   14 4827 10228    649 2.319859e-03  98.648627
b   14 4824 10225   14 4828 10230    647 2.312710e-03  98.650940
b   14 4824 10223   14 4824 10221    646 2.309135e-03  98.653249
b   14 4825 10224   14 4825 10229    646 2.309135e-03  98.655558
b   14 4824 10227   14 4825 10230    646 2.309135e-03  98.657867
b   14 4826 10229   14 4828 10230    644 2.301986e-03  98.660169
b   14 4827 10225   14 4826 10224    643 2.298412e-03  98.662467
b   14 4825 10221   14 4824 10225    642 2.294837e-03  98.664762
b   14 4825 10227   14 4830 10224    642 2.294837e-03  98.667057
b   14 4823 10224   14 4828 10227    641 2.291263e-03  98.669348
b   14 4825 10224   14 4827 10226    639 2.284114e-03  98.671632
b   14 4824 10225   14 4822 10219    638 2.280539e-03  98.673913
b   14 4824 10223   14 4825 10228    638 2.280539e-03  98.676193
b   14 4825 10226   14 4829 10230    638 2.280539e-03  98.678474
b   14 4823 10225   14 4824 10220    637 2.276965e-03  98.680751
b   14 4824 10222   14 4825 10219    634 2.266241e-03  98.683017
b   14 4826 10223   14 4823 10223    631 2.255518e-03  98.685273
b   14 4826 10229   14 4823 10225    631 2.255518e-03  98.687528
b   14 4829 10226   14 4827 10226    631 2.255518e-03  98.689784
b   14 4826 10227   14 4826 10221    628 2.244794e-03  98.692029
b   14 4828 10227   14 4829 10227    628 2.244794e-03  98.694273
b   14 4825 10222   14 4825 10225    627 2.241220e-03  98.696515
b   14 4826 10224   14 4826 10227    627 2.241220e-03  98.698756
b   14 4827 10221   14 4827 10221    626 2.237645e-03  98.700993
b   14 4827 10227   14 4829 10227    626 2.237645e-03  98.703231
b   14 4827 10226   14 4829 10227    623 2.226922e-03  98.705458
b   14 4824 10226   14 4823 10220    621 2.219772e-03  98.707678
b   14 4827 10226   14 4825 10225    621 2.219772e-03  98.709898
b   14 4826 10227   14 4826 10222    620 2.216198e-03  98.712114
b   14 4825 10225   14 4827 10223    619 2.212623e-03  98.714326
b   14 4824 10222   14 4826 10228    618 2.209049e-03  98.716535
b   14 4823 10224   14 4824 10228    617 2.205474e-03  98.718741
b   14 4825 10222   14 4826 10227    617 2.205474e-03  98.720946
b   14 4825 10227   14 4830 10225    617 2.205474e-03  98.723152
b   14 4826 10226   14 4827 10229    616 2.201900e-03  98.725354
b   14 4829 10227   14 4827 10229    615 2.198325e-03  98.727552
b   14 4825 10221   14 4826 10224    614 2.194751e-03  98.729747
b   14 4824 10222   14 4826 10220    611 2.184027e-03  98.731931
b   14 4823 10226   14 4825 10222    610 2.180453e-03  98.734111
b   14 4825 10221   14 4826 10220    610 2.180453e-03  98.736292
b   14 4827 10226   14 4826 10224    609 2.176878e-03  98.738469
b   14 4827 10222   14 4827 10223    608 2.173304e-03  98.740642
b   14 4826 10222   14 4826 10224    603 2.155431e-03  98.742797
b   14 4826 10226   14 4828 10225    600 2.144708e-03  98.744942
b   14 4823 10223   14 4828 10226    598 2.137559e-03  98.747080
b   14 4825 10228   14 4825 10222    595 2.126835e-03  98.749206
b   14 4826 10229   14 4823 10224    594 2.123261e-03  98.751330
b   14 4826 10230   14 4823 10225    594 2.123261e-03  98.753453
b   14 4825 10226   14 4822 10219    593 2.119686e-03  98.755573
b   14 4823 10226   14 4824 10223    593 2.119686e-03  98.757692
b   14 4824 10223   14 4826 10221    593 2.119686e-03  98.759812
b   14 4828 10227   14 4829 10226    592 2.116112e-03  98.761928
b   14 4826 10229   14 4823 10223    590 2.108963e-03  98.764037
b   14 4825 10226   14 4826 10219    590 2.108963e-03  98.766146
b   14 4827 10228   14 4827 10229    589 2.105388e-03  98.768251
b   14 4823 10225   14 4825 10219    586 2.094665e-03  98.770346
b   14 4829 10226   14 4830 10225    586 2.094665e-03  98.772441
b   14 4824 10224   14 4827 10224    585 2.091090e-03  98.774532
b   14 4825 10223   14 4824 10222    584 2.087516e-03  98.776619
b   14 4830 10225   14 4830 10225    582 2.080366e-03  98.778700
b   14 4826 10224   14 4823 10223    580 2.073217e-03  98.780773
b   14 4823 10224   14 4827 10225    579 2.069643e-03  98.782843
b   14 4827 10225   14 4824 10227    578 2.066068e-03  98.784909
b   14 4825 10230   14 4826 10230    578 2.066068e-03  98.786975
b   14 4830 10227   14 4827 10221    578 2.066068e-03  98.789041
b   14 4824 10222   14 4829 10227    574 2.051770e-03  98.791093
b   14 4824 10225   14 4829 10224    570 2.037472e-03  98.793130
b   14 4824 10224   14 4828 10221    569 2.033898e-03  98.795164
b   14 4829 10227   14 4828 10223    569 2.033898e-03  98.797198
b   14 4823 10226   14 4826 10224    568 2.030323e-03  98.799228
b   14 4824 10226   14 4828 10229    567 2.026749e-03  98.801255
b   14 4826 10224   14 4825 10225    566 2.023174e-03  98.803278
b   14 4828 10225   14 4824 10226    565 2.019600e-03  98.805298
b   14 4827 10229   14 4828 10230    564 2.016025e-03  98.807314
b   14 4823 10223   14 4827 10229    563 2.012451e-03  98.809326
b   14 4824 10223   14 4830 10227    563 2.012451e-03  98.811339
b   14 4827 10229   14 4824 10225    562 2.008876e-03  98.813348
b   14 4828 10227   14 4825 10226    562 2.008876e-03  98.815356
b   14 4826 10228   14 4826 10225    562 2.008876e-03  98.817365
b   14 4825 10222   14 4825 10219    561 2.005302e-03  98.819371
b   14 4826 10222   14 4827 10223    561 2.005302e-03  98.821376
b   14 4826 10227   14 4830 10226    561 2.005302e-03  98.823381
b   14 4826 10221   14 4825 10221    560 2.001727e-03  98.825383
b   14 4826 10225   14 4826 10227    559 1.998153e-03  98.827381
b   14 4823 10223   14 4829 10225    559 1.998153e-03  98.829379
b   14 4828 10226   14 4829 10225    559 1.998153e-03  98.831377
b   14 4825 10228   14 4829 10226    559 1.998153e-03  98.833376
b   14 4824 10222   14 4827 10221    558 1.994578e-03  98.835370
b   14 4824 10225   14 4827 10220    557 1.991004e-03  98.837361
b   14 4826 10230   14 4830 10227    557 1.991004e-03  98.839352
b   14 4827 10223   14 4824 10224    554 1.980280e-03  98.841332
b   14 4824 10226   14 4830 10230    553 1.976706e-03  98.843309
b   14 4826 10229   14 4825 10230    552 1.973131e-03  98.845282
b   14 4823 10223   14 4829 10226    551 1.969557e-03  98.847252
b   14 4824 10221   14 4826 10224    549 1.962408e-03  98.849214
b   14 4827 10227   14 4826 10228    549 1.962408e-03  98.851177
b   14 4827 10227   14 4824 10224    547 1.955259e-03  98.853132
b   14 4825 10229   14 4825 10224    546 1.951684e-03  98.855084
b   14 4824 10227   14 4827 10223    546 1.951684e-03  98.857035
b   14 4825 10228   14 4828 10226    546 1.951684e-03  98.858987
b   14 4826 10229   14 4826 10226    545 1.948110e-03  98.860935
b   14 4825 10227   14 4827 10223    545 1.948110e-03  98.862883
b   14 4826 10226   14 4826 10230    543 1.940960e-03  98.864824
b   14 4827 10227   14 4828 10225    541 1.933811e-03  98.866758
b   14 4825 10226   14 4829 10223    541 1.933811e-03  98.868692
b   14 4829 10225   14 4827 10225    540 1.930237e-03  98.870622
b   14 4825 10224   14 4827 10227    539 1.926662e-03  98.872549
b   14 4826 10224   14 4827 10226    538 1.923088e-03  98.874472
b   14 4828 10225   14 4825 10227    536 1.915939e-03  98.876388
b   14 4824 10225   14 4829 10230    535 1.912364e-03  98.878300
b   14 4825 10220   14 4825 10221    533 1.905215e-03  98.880205
b   14 4823 10223   14 4827 10221    529 1.890917e-03  98.882096
b   14 4825 10226   14 4824 10219    526 1.880194e-03  98.883976
b   14 4825 10225   14 4830 10224    525 1.876619e-03  98.885853
b   14 4826 10220   14 4826 10220    524 1.873045e-03  98.887726
b   14 4829 10227   14 4825 10219    523 1.869470e-03  98.889595
b   14 4824 10225   14 4828 10224    523 1.869470e-03  98.891465
b   14 4823 10223   14 4824 10228    518 1.851598e-03  98.893317
b   14 4824 10226   14 4828 10221    518 1.851598e-03  98.895168
b   14 4830 10226   14 4829 10226    518 1.851598e-03  98.897020
b   14 4826 10228   14 4826 10223    517 1.848023e-03  98.898868
b   14 4825 10225   14 4830 10225    517 1.848023e-03  98.900716
b   14 4826 10228   14 4828 10229    515 1.840874e-03  98.902557
b   14 4824 10226   14 4829 10223    515 1.840874e-03  98.904398
b   14 4824 10227   14 4825 10220    512 1.830151e-03  98.906228
b   14 4825 10230   14 4826 10229    512 1.830151e-03  98.908058
b   14 4825 10227   14 4825 10230    510 1.823002e-03  98.909881
b   14 4829 10225   14 4828 10226    510 1.823002e-03  98.911704
b   14 4827 10226   14 4826 10228    509 1.819427e-03  98.913523
b   14 4830 10226   14 4830 10226    508 1.815853e-03  98.915339
b   14 4823 10223   14 4830 10224    502 1.794405e-03  98.917133
b   14 4825 10226   14 4830 10222    502 1.794405e-03  98.918928
b   14 4826 10228   14 4829 10225    501 1.790831e-03  98.920719
b   14 4824 10221   14 4824 10223    500 1.787256e-03  98.922506
b   14 4825 10227   14 4825 10220    499 1.783682e-03  98.924290
b   14 4826 10221   14 4826 10220    499 1.783682e-03  98.926073
b   14 4826 10228   14 4828 10226    498 1.780107e-03  98.927853
b   14 4826 10222   14 4824 10222    496 1.772958e-03  98.929626
b   14 4827 10230   14 4826 10228    495 1.769384e-03  98.931396
b   14 4824 10227   14 4827 10222    494 1.765809e-03  98.933162
b   14 4827 10226   14 4830 10226    494 1.765809e-03  98.934927
b   14 4825 10221   14 4825 10226    489 1.747937e-03  98.936675
b   14 4829 10227   14 4826 10220    489 1.747937e-03  98.938423
b   14 4824 10224   14 4828 10224    489 1.747937e-03  98.940171
b   14 4823 10225   14 4826 10220    488 1.744362e-03  98.941916
b   14 4826 10226   14 4827 10228    488 1.744362e-03  98.943660
b   14 4826 10223   14 4823 10224    486 1.737213e-03  98.945397
b   14 4826 10228   14 4828 10225    485 1.733639e-03  98.947131
b   14 4823 10223   14 4823 10220    483 1.726490e-03  98.948857
b   14 4823 10226   14 4825 10221    483 1.726490e-03  98.950584
b   14 4826 10227   14 4827 10223    483 1.726490e-03  98.952310
b   14 4825 10222   14 4826 10219    482 1.722915e-03  98.954033
b   14 4825 10223   14 4827 10222    480 1.715766e-03  98.955749
b   14 4824 10225   14 4828 10221    480 1.715766e-03  98.957465
b   14 4824 10224   14 4829 10224    479 1.712192e-03  98.959177
b   14 4825 10223   14 4824 10223    478 1.708617e-03  98.960886
b   14 4824 10222   14 4825 10228    476 1.701468e-03  98.962587
b   14 4825 10223   14 4825 10226    473 1.690745e-03  98.964278
b   14 4824 10225   14 4825 10230    473 1.690745e-03  98.965968
b   14 4826 10228   14 4829 10226    473 1.690745e-03  98.967659
b   14 4826 10222   14 4824 10224    472 1.687170e-03  98.969346
b   14 4824 10221   14 4825 10219    472 1.687170e-03  98.971034
b   14 4824 10228   14 4824 10224    470 1.680021e-03  98.972714
b   14 4826 10229   14 4825 10224    468 1.672872e-03  98.974386
b   14 4824 10227   14 4830 10225    468 1.672872e-03  98.976059
b   14 4825 10228   14 4825 10223    467 1.669298e-03  98.977729
b   14 4830 10227   14 4829 10224    466 1.665723e-03  98.979394
b   14 4826 10219   14 4826 10219    465 1.662148e-03  98.981057
b   14 4825 10225   14 4825 10220    464 1.658574e-03  98.982715
b   14 4824 10224   14 4827 10220    463 1.654999e-03  98.984370
b   14 4825 10228   14 4824 10221    461 1.647850e-03  98.986018
b   14 4826 10225   14 4826 10223    461 1.647850e-03  98.987666
b   14 4826 10226   14 4829 10226    460 1.644276e-03  98.989310
b   14 4829 10227   14 4828 10222    459 1.640701e-03  98.990951
b   14 4826 10226   14 4826 10223    458 1.637127e-03  98.992588
b   14 4829 10225   14 4830 10226    458 1.637127e-03  98.994225
b   14 4826 10223   14 4824 10221    457 1.633552e-03  98.995859
b   14 4825 10223   14 4824 10226    456 1.629978e-03  98.997489
b   14 4825 10226   14 4830 10230    456 1.629978e-03  98.999119
b   14 4827 10225   14 4823 10223    453 1.619254e-03  99.000738
b   14 4825 10223   14 4826 10221    453 1.619254e-03  99.002357
b   14 4826 10228   14 4825 10222    452 1.615680e-03  99.003973
b   14 4827 10222   14 4826 10224    451 1.612105e-03  99.005585
b   14 4824 10225   14 4830 10222    451 1.612105e-03  99.007197
b   14 4826 10223   14 4825 10225    448 1.601382e-03  99.008798
b   14 4823 10226   14 4824 10221    446 1.594233e-03  99.010393
b   14 4829 10227   14 4823 10226    444 1.587084e-03  99.011980
b   14 4826 10230   14 4825 10230    444 1.587084e-03  99.013567
b   14 4825 10227   14 4827 10222    444 1.587084e-03  99.015154
b   14 4826 10222   14 4825 10221    443 1.583509e-03  99.016737
b   14 4824 10226   14 4830 10222    443 1.583509e-03  99.018321
b   14 4824 10222   14 4826 10225    442 1.579935e-03  99.019901
b   14 4826 10226   14 4829 10225    442 1.579935e-03  99.021481
b   14 4829 10227   14 4824 10228    440 1.572786e-03  99.023053
b   14 4826 10227   14 4827 10222    440 1.572786e-03  99.024626
b   14 4824 10221   14 4823 10219    437 1.562062e-03  99.026188
b   14 4829 10227   14 4824 10220    437 1.562062e-03  99.027750
b   14 4825 10221   14 4825 10219    437 1.562062e-03  99.029312
b   14 4825 10230   14 4825 10229    437 1.562062e-03  99.030874
b   14 4825 10228   14 4828 10230    437 1.562062e-03  99.032437
b   14 4826 10224   14 4827 10227    435 1.554913e-03  99.033991
b   14 4826 10224   14 4823 10224    434 1.551339e-03  99.035543
b   14 4823 10223   14 4828 10223    434 1.551339e-03  99.037094
b   14 4825 10226   14 4823 10221    433 1.547764e-03  99.038642
b   14 4825 10226   14 4825 10230    433 1.547764e-03  99.040190
b   14 4826 10227   14 4829 10230    433 1.547764e-03  99.041737
b   14 4826 10228   14 4829 10230    432 1.544190e-03  99.043282
b   14 4824 10224   14 4830 10222    432 1.544190e-03  99.044826
b   14 4823 10223   14 4826 10219    431 1.540615e-03  99.046366
b   14 4825 10226   14 4830 10223    430 1.537041e-03  99.047903
b   14 4825 10228   14 4826 10223    429 1.533466e-03  99.049437
b   14 4824 10222   14 4826 10226    428 1.529892e-03  99.050967
b   14 4829 10226   14 4827 10225    428 1.529892e-03  99.052497
b   14 4825 10223   14 4823 10223    427 1.526317e-03  99.054023
b   14 4823 10225   14 4828 10226    427 1.526317e-03  99.055549
b   14 4825 10224   14 4827 10225    426 1.522742e-03  99.057072
b   14 4828 10225   14 4824 10225    425 1.519168e-03  99.058591
b   14 4823 10223   14 4828 10225    425 1.519168e-03  99.060110
b   14 4826 10230   14 4823 10224    424 1.515593e-03  99.061626
b   14 4825 10221   14 4824 10226    421 1.504870e-03  99.063131
b   14 4826 10224   14 4826 10226    421 1.504870e-03  99.064636
b   14 4825 10224   14 4828 10227    421 1.504870e-03  99.066141
b   14 4827 10225   14 4830 10225    420 1.501295e-03  99.067642
b   14 4826 10228   14 4825 10221    419 1.497721e-03  99.069140
b   14 4830 10227   14 4826 10219    418 1.494146e-03  99.070634
b   14 4826 10227   14 4828 10223    418 1.494146e-03  99.072128
b   14 4827 10223   14 4826 10221    416 1.486997e-03  99.073615
b   14 4824 10224   14 4828 10230    416 1.486997e-03  99.075102
b   14 4823 10224   14 4827 10221    415 1.483423e-03  99.076585
b   14 4825 10225   14 4828 10223    413 1.476274e-03  99.078062
b   14 4828 10226   14 4826 10226    412 1.472699e-03  99.079534
b   14 4823 10224   14 4823 10221    411 1.469125e-03  99.081003
b   14 4826 10221   14 4827 10222    410 1.465550e-03  99.082469
b   14 4823 10224   14 4829 10226    410 1.465550e-03  99.083935
b   14 4825 10227   14 4828 10223    409 1.461976e-03  99.085397
b   14 4825 10221   14 4824 10223    407 1.454827e-03  99.086851
b   14 4826 10225   14 4825 10225    407 1.454827e-03  99.088306
b   14 4824 10220   14 4824 10221    406 1.451252e-03  99.089757
b   14 4827 10223   14 4825 10222    406 1.451252e-03  99.091209
b   14 4823 10225   14 4828 10222    405 1.447678e-03  99.092656
b   14 4825 10227   14 4825 10219    404 1.444103e-03  99.094100
b   14 4825 10220   14 4825 10222    404 1.444103e-03  99.095545
b   14 4828 10226   14 4825 10226    404 1.444103e-03  99.096989
b   14 4826 10222   14 4827 10221    403 1.440529e-03  99.098429
b   14 4825 10221   14 4827 10222    403 1.440529e-03  99.099870
b   14 4825 10228   14 4828 10225    402 1.436954e-03  99.101307
b   14 4823 10226   14 4830 10227    401 1.433380e-03  99.102740
b   14 4825 10226   14 4828 10228    398 1.422656e-03  99.104163
b   14 4824 10227   14 4830 10224    398 1.422656e-03  99.105585
b   14 4824 10222   14 4823 10219    397 1.419082e-03  99.107004
b   14 4825 10222   14 4823 10225    397 1.419082e-03  99.108424
b   14 4827 10227   14 4826 10229    397 1.419082e-03  99.109843
b   14 4824 10226   14 4830 10223    397 1.419082e-03  99.111262
b   14 4823 10224   14 4826 10219    395 1.411933e-03  99.112674
b   14 4827 10222   14 4828 10222    395 1.411933e-03  99.114086
b   14 4823 10224   14 4828 10226    392 1.401209e-03  99.115487
b   14 4823 10223   14 4830 10225    392 1.401209e-03  99.116888
b   14 4823 10223   14 4824 10219    391 1.397635e-03  99.118286
b   14 4825 10225   14 4824 10228    391 1.397635e-03  99.119683
b   14 4825 10225   14 4825 10219    391 1.397635e-03  99.121081
b   14 4825 10224   14 4825 10220    390 1.394060e-03  99.122475
b   14 4823 10225   14 4828 10225    390 1.394060e-03  99.123869
b   14 4830 10227   14 4827 10228    389 1.390486e-03  99.125260
b   14 4825 10224   14 4828 10223    389 1.390486e-03  99.126650
b   14 4824 10228   14 4824 10228    388 1.386911e-03  99.128037
b   14 4824 10226   14 4828 10228    388 1.386911e-03  99.129424
b   14 4826 10225   14 4825 10227    387 1.383336e-03  99.130807
b   14 4825 10226   14 4823 10220    386 1.379762e-03  99.132187
b   14 4824 10227   14 4824 10220    386 1.379762e-03  99.133567
b   14 4826 10227   14 4825 10220    386 1.379762e-03  99.134946
b   14 4823 10223   14 4822 10219    384 1.372613e-03  99.136319
b   14 4823 10223   14 4828 10222    384 1.372613e-03  99.137692
b   14 4829 10226   14 4828 10227    384 1.372613e-03  99.139064
b   14 4824 10222   14 4823 10226    382 1.365464e-03  99.140430
b   14 4825 10221   14 4827 10221    382 1.365464e-03  99.141795
b   14 4826 10230   14 4828 10230    382 1.365464e-03  99.143161
b   14 4827 10228   14 4825 10226    381 1.361889e-03  99.144523
b   14 4823 10225   14 4827 10229    381 1.361889e-03  99.145884
b   14 4823 10224   14 4828 10225    381 1.361889e-03  99.147246
b   14 4827 10226   14 4830 10225    381 1.361889e-03  99.148608
b   14 4825 10223   14 4826 10225    380 1.358315e-03  99.149967
b   14 4826 10225   14 4828 10227    380 1.358315e-03  99.151325
b   14 4825 10226   14 4828 10229    380 1.358315e-03  99.152683
b   14 4829 10227   14 4827 10221    379 1.354740e-03  99.154038
b   14 4827 10229   14 4830 10227    379 1.354740e-03  99.155393
b   14 4824 10223   14 4826 10226    378 1.351166e-03  99.156744
b   14 4825 10224   14 4829 10227    378 1.351166e-03  99.158095
b   14 4826 10230   14 4823 10223    377 1.347591e-03  99.159443
b   14 4828 10227   14 4827 10225    377 1.347591e-03  99.160790
b   14 4827 10225   14 4830 10227    377 1.347591e-03  99.162138
b   14 4824 10222   14 4826 10219    376 1.344017e-03  99.163482
b   14 4825 10221   14 4826 10223    376 1.344017e-03  99.164826
b   14 4828 10225   14 4830 10226    376 1.344017e-03  99.166170
b   14 4826 10228   14 4825 10223    375 1.340442e-03  99.167510
b   14 4827 10222   14 4827 10221    375 1.340442e-03  99.168851
b   14 4827 10222   14 4824 10224    373 1.333293e-03  99.170184
b   14 4824 10223   14 4827 10223    373 1.333293e-03  99.171517
b   14 4827 10229   14 4825 10225    372 1.329719e-03  99.172847
b   14 4824 10227   14 4825 10219    371 1.326144e-03  99.174173
b   14 4824 10228   14 4823 10224    370 1.322570e-03  99.175496
b   14 4830 10224   14 4830 10224    370 1.322570e-03  99.176818
b   14 4823 10223   14 4827 10230    369 1.318995e-03  99.178137
b   14 4824 10223   14 4823 10226    367 1.311846e-03  99.179449
b   14 4826 10221   14 4824 10222    367 1.311846e-03  99.180761
b   14 4823 10224   14 4823 10219    366 1.308272e-03  99.182069
b   14 4826 10226   14 4825 10223    365 1.304697e-03  99.183374
b   14 4827 10229   14 4824 10227    362 1.293974e-03  99.184668
b   14 4825 10229   14 4824 10222    361 1.290399e-03  99.185958
b   14 4828 10227   14 4826 10227    361 1.290399e-03  99.187249
b   14 4828 10227   14 4824 10226    360 1.286825e-03  99.188536
b   14 4828 10223   14 4828 10223    360 1.286825e-03  99.189822
b   14 4824 10221   14 4823 10220    359 1.283250e-03  99.191106
b   14 4827 10228   14 4825 10228    359 1.283250e-03  99.192389
b   14 4827 10227   14 4824 10227    358 1.279676e-03  99.193669
b   14 4826 10224   14 4825 10227    358 1.279676e-03  99.194948
b   14 4828 10225   14 4826 10226    358 1.279676e-03  99.196228
b   14 4824 10226   14 4828 10220    357 1.276101e-03  99.197504
b   14 4826 10229   14 4823 10226    356 1.272527e-03  99.198777
b   14 4827 10226   14 4825 10228    356 1.272527e-03  99.200049
b   14 4827 10228   14 4826 10230    354 1.265378e-03  99.201314
b   14 4823 10225   14 4828 10223    353 1.261803e-03  99.202576
b   14 4824 10224   14 4829 10230    352 1.258229e-03  99.203834
b   14 4823 10224   14 4827 10229    351 1.254654e-03  99.205089
b   14 4825 10222   14 4824 10227    350 1.251080e-03  99.206340
b   14 4828 10225   14 4825 10225    349 1.247505e-03  99.207588
b   14 4827 10225   14 4825 10228    348 1.243930e-03  99.208832
b   14 4823 10226   14 4826 10223    348 1.243930e-03  99.210076
b   14 4825 10222   14 4828 10222    347 1.240356e-03  99.211316
b   14 4824 10227   14 4828 10230    347 1.240356e-03  99.212556
b   14 4824 10221   14 4826 10220    346 1.236781e-03  99.213793
b   14 4827 10226   14 4826 10229    346 1.236781e-03  99.215030
b   14 4824 10224   14 4829 10223    346 1.236781e-03  99.216267
b   14 4824 10227   14 4828 10223    345 1.233207e-03  99.217500
b   14 4825 10227   14 4830 10226    345 1.233207e-03  99.218733
b   14 4825 10222   14 4823 10221    344 1.229632e-03  99.219963
b   14 4827 10229   14 4824 10224    344 1.229632e-03  99.221192
b   14 4828 10225   14 4827 10227    344 1.229632e-03  99.222422
b   14 4827 10222   14 4825 10222    343 1.226058e-03  99.223648
b   14 4826 10223   14 4826 10227    343 1.226058e-03  99.224874
b   14 4828 10225   14 4826 10228    343 1.226058e-03  99.226100
b   14 4823 10224   14 4828 10222    343 1.226058e-03  99.227326
b   14 4827 10227   14 4825 10228    341 1.218909e-03  99.228545
b   14 4824 10225   14 4828 10228    341 1.218909e-03  99.229764
b   14 4830 10227   14 4828 10230    340 1.215334e-03  99.230979
b   14 4826 10224   14 4825 10220    339 1.211760e-03  99.232191
b   14 4825 10220   14 4826 10221    339 1.211760e-03  99.233403
b   14 4825 10222   14 4828 10221    339 1.211760e-03  99.234615
b   14 4828 10227   14 4828 10225    339 1.211760e-03  99.235826
b   14 4829 10226   14 4829 10227    339 1.211760e-03  99.237038
b   14 4828 10226   14 4830 10226    338 1.208185e-03  99.238246
b   14 4825 10224   14 4827 10229    337 1.204611e-03  99.239451
b   14 4826 10225   14 4828 10226    336 1.201036e-03  99.240652
b   14 4826 10225   14 4825 10224    335 1.197462e-03  99.241849
b   14 4830 10227   14 4828 10224    335 1.197462e-03  99.243047
b   14 4828 10225   14 4830 10225    335 1.197462e-03  99.244244
b   14 4826 10230   14 4827 10228    334 1.193887e-03  99.245438
b   14 4824 10226   14 4829 10221    333 1.190313e-03  99.246629
b   14 4828 10227   14 4826 10226    332 1.186738e-03  99.247815
b   14 4824 10225   14 4828 10229    332 1.186738e-03  99.249002
b   14 4822 10224   14 4822 10224    331 1.183164e-03  99.250185
b   14 4827 10221   14 4826 10221    330 1.179589e-03  99.251365
b   14 4826 10224   14 4827 10224    330 1.179589e-03  99.252544
b   14 4826 10223   14 4828 10224    330 1.179589e-03  99.253724
b   14 4826 10227   14 4825 10219    329 1.176015e-03  99.254900
b   14 4824 10220   14 4825 10221    329 1.176015e-03  99.256076
b   14 4827 10229   14 4828 10229    329 1.176015e-03  99.257252
b   14 4825 10227   14 4828 10230    329 1.176015e-03  99.258428
b   14 4827 10222   14 4826 10221    328 1.172440e-03  99.259600
b   14 4824 10228   14 4826 10229    328 1.172440e-03  99.260773
b   14 4825 10229   14 4827 10226    328 1.172440e-03  99.261945
b   14 4826 10223   14 4827 10221    327 1.168866e-03  99.263114
b   14 4826 10225   14 4828 10225    325 1.161717e-03  99.264276
b   14 4826 10226   14 4825 10222    324 1.158142e-03  99.265434
b   14 4824 10221   14 4826 10223    324 1.158142e-03  99.266592
b   14 4824 10223   14 4827 10222    324 1.158142e-03  99.267750
b   14 4829 10227   14 4827 10230    324 1.158142e-03  99.268908
b   14 4825 10224   14 4828 10222    322 1.150993e-03  99.270059
b   14 4825 10228   14 4829 10225    322 1.150993e-03  99.271210
b   14 4825 10225   14 4826 10220    321 1.147419e-03  99.272358
b   14 4826 10227   14 4829 10224    320 1.143844e-03  99.273502
b   14 4826 10224   14 4823 10225    317 1.133121e-03  99.274635
b   14 4827 10227   14 4829 10225    317 1.133121e-03  99.275768
b   14 4826 10223   14 4823 10225    316 1.129546e-03  99.276897
b   14 4826 10227   14 4824 10220    314 1.122397e-03  99.278020
b   14 4827 10220   14 4827 10220    314 1.122397e-03  99.279142
b   14 4826 10223   14 4827 10224    314 1.122397e-03  99.280265
b   14 4826 10230   14 4825 10225    313 1.118823e-03  99.281384
b   14 4828 10230   14 4828 10230    313 1.118823e-03  99.282502
b   14 4824 10220   14 4824 10220    311 1.111674e-03  99.283614
b   14 4829 10226   14 4825 10226    311 1.111674e-03  99.284726
b   14 4827 10225   14 4828 10224    310 1.108099e-03  99.285834
b   14 4825 10227   14 4824 10220    309 1.104524e-03  99.286938
b   14 4828 10226   14 4824 10226    308 1.100950e-03  99.288039
b   14 4826 10220   14 4826 10221    308 1.100950e-03  99.289140
b   14 4824 10228   14 4823 10225    307 1.097375e-03  99.290238
b   14 4828 10225   14 4826 10225    307 1.097375e-03  99.291335
b   14 4824 10223   14 4829 10227    307 1.097375e-03  99.292432
b   14 4825 10227   14 4828 10224    306 1.093801e-03  99.293526
b   14 4828 10225   14 4824 10224    304 1.086652e-03  99.294613
b   14 4824 10224   14 4825 10230    302 1.079503e-03  99.295692
b   14 4826 10226   14 4825 10221    299 1.068779e-03  99.296761
b   14 4824 10228   14 4830 10227    298 1.065205e-03  99.297826
b   14 4830 10227   14 4823 10219    296 1.058056e-03  99.298884
b   14 4823 10226   14 4825 10223    296 1.058056e-03  99.299942
b   14 4825 10222   14 4825 10227    296 1.058056e-03  99.301000
b   14 4824 10222   14 4828 10222    296 1.058056e-03  99.302058
b   14 4825 10225   14 4824 10220    294 1.050907e-03  99.303109
b   14 4823 10225   14 4829 10226    293 1.047332e-03  99.304157
b   14 4830 10224   14 4830 10225    293 1.047332e-03  99.305204
b   14 4824 10222   14 4823 10220    292 1.043758e-03  99.306248
b   14 4827 10223   14 4825 10223    292 1.043758e-03  99.307292
b   14 4825 10220   14 4826 10220    291 1.040183e-03  99.308332
b   14 4825 10226   14 4827 10220    291 1.040183e-03  99.309372
b   14 4826 10230   14 4829 10227    290 1.036609e-03  99.310409
b   14 4824 10225   14 4827 10224    289 1.033034e-03  99.311442
b   14 4830 10227   14 4824 10219    288 1.029460e-03  99.312471
b   14 4825 10224   14 4826 10220    288 1.029460e-03  99.313501
b   14 4826 10221   14 4826 10223    287 1.025885e-03  99.314526
b   14 4829 10226   14 4827 10227    287 1.025885e-03  99.315552
b   14 4824 10225   14 4829 10223    287 1.025885e-03  99.316578
b   14 4828 10227   14 4830 10227    287 1.025885e-03  99.317604
b   14 4826 10223   14 4825 10220    285 1.018736e-03  99.318623
b   14 4824 10224   14 4829 10221    285 1.018736e-03  99.319642
