ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8915608,HV588414,12/04/2012 10:10:00 AM,005XX W MADISON ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,true,false,0121,001,42,28,26,1173039,1900311,2012,02/04/2016 06:33:39 AM,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
5503453,HN319781,05/03/2007 10:45:00 AM,039XX N KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1733,017,33,16,18,1154353,1926038,2007,04/15/2016 08:55:02 AM,41.95287471,-87.707986356,"(41.95287471, -87.707986356)"
6548132,HP615329,10/08/2008 11:40:00 AM,001XX W 51ST ST,0560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,false,false,0232,002,3,37,08A,1176005,1871170,2008,02/04/2016 06:33:39 AM,41.801852528,-87.630045663,"(41.801852528, -87.630045663)"
2364035,HH654163,09/17/2002 02:04:07 PM,044XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,0222,002,3,38,14,1178784,1875589,2002,04/15/2016 08:55:02 AM,41.813915801,-87.619719493,"(41.813915801, -87.619719493)"
7265948,HR680365,12/08/2009 07:42:00 PM,047XX N WHIPPLE ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,1713,017,33,14,26,1155188,1931335,2009,02/04/2016 06:33:39 AM,41.967393246,-87.704774003,"(41.967393246, -87.704774003)"
3318807,HK308059,04/17/2004 09:00:00 AM,097XX S LA SALLE ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0511,005,21,49,18,1176990,1840495,2004,04/15/2016 08:55:02 AM,41.717654642,-87.627356533,"(41.717654642, -87.627356533)"
10243083,HY431458,09/20/2015 07:35:00 PM,035XX W 13TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1021,010,24,29,14,1153019,1893677,2015,09/30/2015 03:35:37 PM,41.86409978,-87.713749532,"(41.86409978, -87.713749532)"
1528462,G276224,05/06/2001 12:00:00 AM,016XX W NORTH SHORE AV,0610,BURGLARY,FORCIBLE ENTRY,OTHER,false,false,2432,024,,,05,1164109,1944612,2001,08/17/2015 03:03:40 PM,42.003641483,-87.671595305,"(42.003641483, -87.671595305)"
1978401,HH167098,02/04/2002 04:40:00 PM,110XX S ASHLAND AV,2027,NARCOTICS,POSS: CRACK,STREET,true,false,2234,022,,,18,1167637,1831480,2002,04/15/2016 08:55:02 AM,41.693121388,-87.66187025,"(41.693121388, -87.66187025)"
7587756,HS391493,07/03/2010 01:19:00 AM,0000X S SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1122,011,28,26,08B,1150396,1899634,2010,02/04/2016 06:33:39 AM,41.880498008,-87.72322311,"(41.880498008, -87.72322311)"
10005911,HY195995,03/23/2015 08:00:00 PM,006XX W ENGLEWOOD AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0711,007,16,68,08A,1173168,1863448,2015,08/17/2015 03:03:40 PM,41.780725757,-87.640678174,"(41.780725757, -87.640678174)"
1505618,G248805,05/01/2001 12:00:00 PM,008XX N FRANCISCO AV,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1311,012,,,04B,1156852,1905707,2001,08/17/2015 03:03:40 PM,41.897034499,-87.699352437,"(41.897034499, -87.699352437)"
2324763,HH611360,08/28/2002 07:58:00 PM,070XX S CLYDE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0331,003,5,43,08A,1191433,1858578,2002,04/15/2016 08:55:02 AM,41.766938864,-87.573873868,"(41.766938864, -87.573873868)"
7998446,HT229562,04/01/2011 03:30:00 PM,016XX N SPAULDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1422,014,26,23,08B,1153891,1910739,2011,02/04/2016 06:33:39 AM,41.910902295,-87.710093524,"(41.910902295, -87.710093524)"
6712728,HR129300,01/20/2009 01:30:00 AM,048XX S LAKE PARK AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,2132,002,4,39,26,1186953,1873098,2009,02/04/2016 06:33:39 AM,41.806890268,-87.589834384,"(41.806890268, -87.589834384)"
3875629,HL203543,02/26/2005 01:50:00 PM,054XX W FULTON ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,true,false,1523,015,28,25,18,1140168,1901487,2005,04/15/2016 08:55:02 AM,41.88577626,-87.760734419,"(41.88577626, -87.760734419)"
7244563,HR644123,11/15/2009 05:50:00 AM,015XX S SPRINGFIELD AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1014,010,24,29,18,1150629,1892235,2009,02/04/2016 06:33:39 AM,41.860189759,-87.722560861,"(41.860189759, -87.722560861)"
1807338,G634444,10/22/2001 12:20:31 AM,018XX S KOMENSKY AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,1012,010,,,08B,1149627,1891036,2001,08/17/2015 03:03:40 PM,41.856919058,-87.726270093,"(41.856919058, -87.726270093)"
9139189,HW284360,05/21/2013 09:00:00 AM,027XX W CORTEZ ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1211,012,1,24,08B,1157983,1906873,2013,02/04/2016 06:33:39 AM,41.900211095,-87.695166576,"(41.900211095, -87.695166576)"
6168308,HP257061,03/02/2008 12:00:00 PM,064XX N HERMITAGE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,2432,024,40,1,06,1163575,1942677,2008,02/04/2016 06:33:39 AM,41.998343102,-87.673614725,"(41.998343102, -87.673614725)"
1585946,G353348,06/18/2001 02:15:48 AM,077XX S WINCHESTER AV,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0611,006,,,04B,1164743,1853281,2001,08/17/2015 03:03:40 PM,41.753008196,-87.671852497,"(41.753008196, -87.671852497)"
1602643,G374540,06/27/2001 01:15:00 PM,034XX W CHICAGO AV,0820,THEFT,$500 AND UNDER,STREET,false,false,1121,011,,,06,1153550,1905085,2001,08/17/2015 03:03:40 PM,41.895393987,-87.711496808,"(41.895393987, -87.711496808)"
6247066,HP333364,05/13/2008 03:10:00 PM,064XX S OAKLEY AVE,0460,BATTERY,SIMPLE,STREET,false,false,0825,008,15,66,08B,1162178,1861995,2008,02/04/2016 06:33:39 AM,41.776974389,-87.681010085,"(41.776974389, -87.681010085)"
1477092,G200184,04/08/2001 06:40:00 PM,032XX N CICERO AV,0560,ASSAULT,SIMPLE,STREET,false,false,1634,016,,,08A,1143769,1920923,2001,08/17/2015 03:03:40 PM,41.939044018,-87.747022735,"(41.939044018, -87.747022735)"
4545582,HL730220,11/11/2005 11:35:00 PM,034XX W BARRY AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,1412,014,35,21,18,1153138,1920412,2005,04/15/2016 08:55:02 AM,41.937460795,-87.71260256,"(41.937460795, -87.71260256)"
5596430,HN401369,06/12/2007 08:13:41 PM,021XX S WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,true,false,0134,001,2,33,26,1177085,1890060,2007,04/15/2016 08:55:02 AM,41.853663905,-87.625514131,"(41.853663905, -87.625514131)"
4887984,HM498655,07/24/2006 05:20:00 PM,041XX S WESTERN BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,0914,009,12,61,06,1161206,1877261,2006,04/15/2016 08:55:02 AM,41.818886437,-87.684150778,"(41.818886437, -87.684150778)"
7426777,HS229473,03/28/2010 02:10:00 AM,005XX W 45TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0935,009,11,61,08B,1173511,1875082,2010,02/04/2016 06:33:39 AM,41.812643075,-87.639076204,"(41.812643075, -87.639076204)"
8188885,HT422438,07/29/2011 11:11:35 PM,108XX S WABASH AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,false,0513,005,9,49,04A,1178500,1833075,2011,02/04/2016 06:33:39 AM,41.697259038,-87.62205052,"(41.697259038, -87.62205052)"
10548630,HZ295125,06/05/2016 11:00:00 PM,040XX W GRENSHAW ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,false,false,1132,011,24,29,15,1149682,1894737,2016,06/12/2016 03:52:19 PM,41.867073979,-87.725972107,"(41.867073979, -87.725972107)"
8694376,HV370393,07/06/2012 09:00:00 PM,003XX N ADA ST,0810,THEFT,OVER $500,STREET,false,false,1212,012,27,28,06,1167373,1902212,2012,02/04/2016 06:33:39 AM,41.887224133,-87.660811075,"(41.887224133, -87.660811075)"
8630022,HV303509,05/24/2012 10:30:00 PM,028XX N RUTHERFORD AVE,3960,INTIMIDATION,INTIMIDATION,RESIDENCE,true,false,2511,025,36,18,26,1130929,1918226,2012,02/04/2016 06:33:39 AM,41.931874416,-87.794276256,"(41.931874416, -87.794276256)"
